concentration,time to catastrophe (s)
10 uM,230.0
10 uM,235.0
10 uM,235.0
10 uM,240.0
10 uM,240.0
10 uM,240.0
10 uM,240.0
10 uM,245.0
10 uM,245.0
10 uM,245.0
10 uM,250.0
10 uM,250.0
10 uM,250.0
10 uM,255.0
10 uM,255.0
10 uM,255.0
10 uM,260.0
10 uM,260.0
10 uM,265.0
10 uM,265.0
10 uM,265.0
10 uM,265.0
10 uM,270.0
10 uM,270.0
10 uM,270.0
10 uM,275.0
10 uM,275.0
10 uM,280.0
10 uM,285.0
10 uM,285.0
10 uM,285.0
10 uM,290.0
10 uM,290.0
10 uM,290.0
10 uM,290.0
10 uM,295.0
10 uM,300.0
10 uM,300.0
10 uM,300.0
10 uM,300.0
10 uM,305.0
10 uM,305.0
10 uM,305.0
10 uM,305.0
10 uM,305.0
10 uM,310.0
10 uM,315.0
10 uM,315.0
10 uM,315.0
10 uM,320.0
10 uM,325.0
10 uM,325.0
10 uM,335.0
10 uM,335.0
10 uM,340.0
10 uM,340.0
10 uM,345.0
10 uM,345.0
10 uM,345.0
10 uM,345.0
10 uM,345.0
10 uM,350.0
10 uM,355.0
10 uM,355.0
10 uM,365.0
10 uM,370.0
10 uM,370.0
10 uM,370.0
10 uM,375.0
10 uM,375.0
10 uM,380.0
10 uM,380.0
10 uM,380.0
10 uM,385.0
10 uM,385.0
10 uM,385.0
10 uM,390.0
10 uM,395.0
10 uM,395.0
10 uM,405.0
10 uM,405.0
10 uM,410.0
10 uM,415.0
10 uM,425.0
10 uM,425.0
10 uM,430.0
10 uM,430.0
10 uM,430.0
10 uM,435.0
10 uM,440.0
10 uM,445.0
10 uM,460.0
10 uM,460.0
10 uM,480.0
10 uM,485.0
10 uM,495.0
10 uM,500.0
10 uM,500.0
10 uM,505.0
10 uM,510.0
10 uM,515.0
10 uM,515.0
10 uM,515.0
10 uM,515.0
10 uM,515.0
10 uM,520.0
10 uM,530.0
10 uM,530.0
10 uM,530.0
10 uM,535.0
10 uM,535.0
10 uM,565.0
10 uM,570.0
10 uM,575.0
10 uM,580.0
10 uM,590.0
10 uM,590.0
10 uM,595.0
10 uM,600.0
10 uM,605.0
10 uM,605.0
10 uM,615.0
10 uM,635.0
10 uM,635.0
10 uM,645.0
10 uM,650.0
10 uM,650.0
10 uM,650.0
10 uM,655.0
10 uM,655.0
10 uM,655.0
10 uM,655.0
10 uM,655.0
10 uM,660.0
10 uM,660.0
10 uM,665.0
10 uM,665.0
10 uM,665.0
10 uM,670.0
10 uM,680.0
10 uM,695.0
10 uM,695.0
10 uM,705.0
10 uM,715.0
10 uM,730.0
10 uM,735.0
10 uM,740.0
10 uM,740.0
10 uM,775.0
10 uM,795.0
10 uM,860.0
10 uM,865.0
10 uM,895.0
10 uM,935.0
12 uM,25.0
12 uM,40.0
12 uM,40.0
12 uM,45.429
12 uM,50.0
12 uM,55.0
12 uM,56.386
12 uM,60.0
12 uM,60.0
12 uM,60.0
12 uM,60.0
12 uM,64.075
12 uM,65.0
12 uM,65.0
12 uM,65.0
12 uM,65.0
12 uM,70.0
12 uM,71.764
12 uM,75.0
12 uM,75.0
12 uM,78.903
12 uM,80.0
12 uM,80.0
12 uM,80.0
12 uM,85.0
12 uM,85.0
12 uM,85.0
12 uM,85.0
12 uM,85.0
12 uM,90.0
12 uM,90.0
12 uM,90.0
12 uM,92.268
12 uM,94.831
12 uM,95.0
12 uM,95.0
12 uM,100.0
12 uM,105.0
12 uM,105.0
12 uM,105.0
12 uM,110.0
12 uM,110.0
12 uM,112.772
12 uM,115.0
12 uM,115.0
12 uM,115.0
12 uM,115.0
12 uM,117.159
12 uM,117.159
12 uM,117.898
12 uM,120.0
12 uM,120.0
12 uM,125.0
12 uM,125.0
12 uM,125.0
12 uM,125.0
12 uM,125.0
12 uM,125.587
12 uM,130.0
12 uM,130.0
12 uM,130.0
12 uM,130.0
12 uM,130.0
12 uM,130.0
12 uM,130.0
12 uM,130.0
12 uM,130.0
12 uM,131.505
12 uM,133.276
12 uM,135.0
12 uM,135.0
12 uM,135.0
12 uM,135.0
12 uM,135.0
12 uM,138.402
12 uM,140.0
12 uM,140.0
12 uM,140.0
12 uM,140.0
12 uM,140.965
12 uM,143.528
12 uM,145.0
12 uM,145.0
12 uM,145.0
12 uM,145.0
12 uM,145.851
12 uM,150.0
12 uM,150.633
12 uM,153.78
12 uM,155.0
12 uM,155.0
12 uM,155.415
12 uM,160.0
12 uM,160.0
12 uM,160.0
12 uM,160.0
12 uM,160.0
12 uM,160.0
12 uM,164.979
12 uM,164.979
12 uM,165.0
12 uM,165.0
12 uM,165.0
12 uM,165.0
12 uM,165.0
12 uM,165.0
12 uM,166.595
12 uM,170.0
12 uM,170.0
12 uM,170.0
12 uM,170.0
12 uM,170.0
12 uM,170.0
12 uM,170.0
12 uM,174.284
12 uM,175.0
12 uM,175.0
12 uM,175.0
12 uM,175.0
12 uM,175.0
12 uM,175.0
12 uM,175.0
12 uM,176.847
12 uM,179.325
12 uM,180.0
12 uM,180.0
12 uM,180.0
12 uM,181.716
12 uM,181.973
12 uM,181.973
12 uM,181.973
12 uM,184.536
12 uM,184.536
12 uM,185.0
12 uM,185.0
12 uM,186.498
12 uM,189.662
12 uM,189.662
12 uM,190.0
12 uM,190.0
12 uM,190.0
12 uM,190.0
12 uM,190.0
12 uM,190.0
12 uM,192.225
12 uM,194.788
12 uM,195.0
12 uM,195.0
12 uM,195.0
12 uM,195.0
12 uM,195.0
12 uM,195.0
12 uM,197.351
12 uM,197.351
12 uM,199.914
12 uM,199.914
12 uM,199.914
12 uM,200.0
12 uM,200.0
12 uM,200.844
12 uM,205.0
12 uM,205.0
12 uM,205.0
12 uM,205.0
12 uM,205.04
12 uM,207.603
12 uM,210.0
12 uM,212.729
12 uM,212.729
12 uM,215.0
12 uM,215.0
12 uM,215.292
12 uM,217.581
12 uM,220.0
12 uM,220.0
12 uM,220.0
12 uM,220.0
12 uM,220.418
12 uM,220.418
12 uM,220.418
12 uM,222.981
12 uM,225.0
12 uM,225.544
12 uM,229.536
12 uM,230.0
12 uM,233.233
12 uM,233.233
12 uM,233.233
12 uM,234.318
12 uM,235.0
12 uM,235.796
12 uM,238.359
12 uM,238.359
12 uM,239.1
12 uM,240.0
12 uM,240.0
12 uM,240.0
12 uM,245.0
12 uM,245.0
12 uM,245.0
12 uM,245.0
12 uM,245.0
12 uM,246.048
12 uM,250.0
12 uM,251.174
12 uM,255.0
12 uM,255.0
12 uM,255.0
12 uM,255.0
12 uM,255.0
12 uM,256.3
12 uM,256.3
12 uM,258.228
12 uM,260.0
12 uM,260.0
12 uM,260.0
12 uM,260.0
12 uM,260.0
12 uM,261.426
12 uM,261.426
12 uM,261.426
12 uM,265.0
12 uM,265.0
12 uM,265.0
12 uM,265.0
12 uM,265.0
12 uM,266.552
12 uM,266.552
12 uM,269.115
12 uM,269.115
12 uM,270.0
12 uM,270.0
12 uM,270.0
12 uM,270.0
12 uM,270.0
12 uM,270.0
12 uM,270.0
12 uM,271.678
12 uM,274.241
12 uM,275.0
12 uM,275.0
12 uM,275.0
12 uM,275.0
12 uM,275.0
12 uM,276.804
12 uM,279.367
12 uM,280.0
12 uM,280.0
12 uM,280.0
12 uM,280.0
12 uM,280.0
12 uM,280.0
12 uM,280.0
12 uM,280.0
12 uM,285.0
12 uM,285.0
12 uM,285.0
12 uM,285.0
12 uM,287.056
12 uM,289.619
12 uM,290.0
12 uM,292.182
12 uM,292.182
12 uM,292.182
12 uM,292.182
12 uM,294.745
12 uM,295.0
12 uM,299.871
12 uM,300.0
12 uM,300.0
12 uM,300.0
12 uM,300.0
12 uM,300.0
12 uM,300.0
12 uM,300.0
12 uM,302.434
12 uM,305.0
12 uM,305.0
12 uM,305.0
12 uM,305.0
12 uM,307.56
12 uM,310.0
12 uM,310.0
12 uM,310.0
12 uM,310.0
12 uM,310.0
12 uM,310.0
12 uM,312.686
12 uM,315.0
12 uM,315.0
12 uM,315.249
12 uM,315.249
12 uM,315.249
12 uM,315.249
12 uM,317.812
12 uM,318.003
12 uM,320.0
12 uM,320.0
12 uM,320.0
12 uM,320.0
12 uM,320.0
12 uM,320.0
12 uM,320.0
12 uM,320.0
12 uM,320.0
12 uM,320.0
12 uM,320.375
12 uM,320.394
12 uM,322.938
12 uM,329.958
12 uM,330.0
12 uM,330.0
12 uM,330.0
12 uM,330.0
12 uM,330.0
12 uM,330.0
12 uM,330.0
12 uM,332.349
12 uM,333.19
12 uM,333.19
12 uM,335.0
12 uM,335.0
12 uM,335.0
12 uM,335.0
12 uM,335.753
12 uM,338.316
12 uM,338.316
12 uM,340.0
12 uM,340.0
12 uM,340.0
12 uM,340.0
12 uM,340.0
12 uM,340.879
12 uM,340.879
12 uM,345.0
12 uM,345.0
12 uM,345.0
12 uM,345.0
12 uM,345.0
12 uM,345.0
12 uM,345.0
12 uM,345.0
12 uM,346.005
12 uM,348.568
12 uM,348.568
12 uM,348.568
12 uM,348.568
12 uM,349.086
12 uM,350.0
12 uM,350.0
12 uM,350.0
